URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/stroke-brain-imaging-procedure-profile,StructureDefinition/stroke-swallow-procedure-profile","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medication-statement-adherence,5.0.0,draft,"2.16.840.1.113883.4.642.3.3090",MedicationStatementAdherenceCodes,MedicationStatement Adherence Codes,"MedicationStatement Adherence Codes","StructureDefinition/prior-medication-statement-profile","hl7.fhir.r5.core"
http://tecnomod-um.org/ValueSet/admission-source-vs,0.1.0,draft,,AdmissionSourceValueSet,Admission Sources ValueSet,"This ValueSet enumerates modes of transport or pathways by which a patient arrived for the index stroke encounter.  **Primary use-cases** - Bind to admission source elements (commonly `Encounter.hospitalization.admitSource` or local equivalents) to support:   - operational reporting (ambulance vs own transport),   - pathway compliance (e.g., EMS prenotification pathways),   - inter-facility transfer analytics.",,"SCT"
http://tecnomod-um.org/ValueSet/afib-flutter-status-vs,0.1.0,active,,AfibFlutterStatusVS,Atrial Fibrillation / Flutter Assessment Status ValueSet,"This ValueSet constrains the allowable coded outcomes for documenting the **status of an AF/flutter assessment** within the stroke workflow.  **Primary use-case** - Bind to `Observation.valueCodeableConcept` in the `SpecificFindingObservationProfile` when `Observation.code` refers to AF/flutter as a finding focus. - Enables harmonized interpretation for analytics and decision support (e.g., anticoagulation pathway triggers) without forcing a Condition assertion.  **Scope and modeling notes** - This ValueSet expresses *assessment outcome/status* (detected/known/absent/not screened/unknown). - It does not replace Condition for diagnoses. When AF/flutter is confirmed as a diagnosis, represent it as a `Condition` with the appropriate SNOMED CT disorder code.",,"SCT"
http://tecnomod-um.org/ValueSet/assessment-context-vs,0.1.0,active,,AssessmentContextVS,Assessment Context ValueSet,"This ValueSet includes all phase/context codes from AssessmentContextCS.  **Primary use-case** - Required binding for elements that must indicate the clinical phase of an assessment (e.g., timing context extensions).","StructureDefinition/observation-timing-context-ext","Internal"
http://tecnomod-um.org/ValueSet/brain-imaging-modality-vs,0.1.0,active,,BrainImagingModalityVS,Brain Imaging Modality ValueSet,"Defines the SNOMED CT codes for individual brain imaging modalities performed as procedures.","StructureDefinition/stroke-brain-imaging-procedure-profile","SCT,Internal"
http://tecnomod-um.org/ValueSet/carotid-imaging-modality-vs,0.1.0,active,,CarotidImagingModalityVS,Carotid Arteries Imaging Modality ValueSet,"This ValueSet enumerates standardized codes (primarily SNOMED CT procedures) representing **carotid imaging modalities** used in stroke workflows.  **Primary use-case** - Bind to `Procedure.code` when recording a carotid imaging study performed during the stroke episode.",,"SCT"
http://tecnomod-um.org/ValueSet/discharge-dept-vs,0.1.0,active,,DischargeDeptVS,Discharge Department/Service ValueSet,"ValueSet specifying the type of department or service the patient was discharged or transferred to.","StructureDefinition/discharge-department-service-ext","Internal"
http://tecnomod-um.org/ValueSet/discharge-destination-vs,0.1.0,draft,,DischargeDestinationValueSet,Discharge Destination ValueSet,"This ValueSet enumerates discharge destination concepts (primarily SNOMED CT procedure-like “discharge to …” concepts).  **Primary use-cases** - Bind to discharge disposition elements in encounter/hospitalization modeling.   enabling consistent:   - care transition analytics,   - pathway reporting (home vs ward vs facility vs mortuary),   - downstream coordination workflows.",,"SCT"
http://tecnomod-um.org/ValueSet/functional-score-codes-vs,0.1.0,active,,FunctionalScoreCodesVS,Stroke Functional Score Codes ValueSet,"This ValueSet constrains `Observation.code` for functional outcome and severity instruments represented in this guide: - Modified Rankin Scale score (mRS) - NIH Stroke Scale total score (NIHSS)  **Primary use-case** - Bind to `Observation.code` in `FunctionalScoreObservationProfile`.  **Datatype expectations enforced via invariants** - mRS: `Observation.valueCodeableConcept` bound to MRsScoreVS (ordinal categories 0–6). - NIHSS: `Observation.valueInteger` as total NIHSS score.","StructureDefinition/functional-score-observation-profile","SCT"
http://tecnomod-um.org/ValueSet/hemorrhagic-stroke-bleeding-reason-vs,0.1.0,draft,,HemorrhagicStrokeBleedingReasonVS,Hemorrhagic Stroke Bleeding Reason ValueSet,"This ValueSet defines allowable causes of bleeding for hemorrhagic stroke documentation.  **Primary use-case** - Required binding for `HemorrhagicStrokeBleedingReasonExt.valueCodeableConcept` on a definitive hemorrhagic stroke Condition.  **Implementation guidance** - Use when the cause is *identified* (e.g., aneurysm, vascular malformation). - If the cause is unknown/undetermined, prefer documenting that explicitly using narrative (`Condition.note`) and/or a dedicated assessment Observation;   if a coded placeholder is required, `Undetermined (qualifier value)` is included as an option.","StructureDefinition/hemorrhagic-stroke-bleeding-reason-ext","SCT,Internal"
http://tecnomod-um.org/ValueSet/initial-care-intensity-vs,0.1.0,active,,InitialCareIntensityVS,Initial Care Intensity ValueSet,"ValueSet indicating the level of care provided initially.","StructureDefinition/initial-care-intensity-ext","Internal"
http://tecnomod-um.org/ValueSet/medication-vs,0.1.0,draft,,MedicationVS,Medications ValueSet,"SNOMED CT codes for drug products or substances.","StructureDefinition/discharge-medication-request-profile,StructureDefinition/prior-medication-statement-profile","SCT,Internal"
http://tecnomod-um.org/ValueSet/mrs-score-vs,0.1.0,active,,MRsScoreVS,Modified Rankin Scale (mRS) Score ValueSet,"This ValueSet includes all mRS grades (0–6) defined in MRsScoreCS.  **Primary use-case** - Bind to `Observation.valueCodeableConcept` when `Observation.code` indicates the Observation represents an mRS score.","StructureDefinition/functional-score-observation-profile","Internal"
http://tecnomod-um.org/ValueSet/mtici-code-vs,0.1.0,active,,MTICICodeVS,Modified Thrombolysis in Cerebral Infarction Assessment ValueSet,"This ValueSet includes the mTICI assessment concept code(s) from MTICICodeCS.  **Primary use-case** - Bind to `Observation.code` when recording an mTICI reperfusion grade Observation. - Pair with `Observation.valueCodeableConcept` bound to MticiScoreVS.","ValueSet/stroke-finding-codes-vs","Internal"
http://tecnomod-um.org/ValueSet/mtici-score-vs,0.1.0,draft,,MTICIScoreValueSet,Modified Treatment in Cerebral Infarction Grade Score ValueSet,"This ValueSet enumerates all allowable Modified Treatment in Cerebral Infarction reperfusion grade values (0, 1, 2a, 2b, 2c, 3) from MticiScoreCS.  **Primary use-case** - Required binding to `Observation.valueCodeableConcept` when an Observation represents an mTICI grade outcome.  **Why a dedicated ValueSet** - Ensures consistent coding across implementations and sites. - Enables reliable registry reporting, audit/quality measurement, and research analytics.",,"Internal"
http://tecnomod-um.org/ValueSet/perforation-procedures-vs,0.1.0,draft,,PerforationProceduresValueset,Perforation Procedures ValueSet,"ValueSet restricting Procedure codes to stroke **reperfusion interventions**: - IV thrombolysis (IVT) - Mechanical thrombectomy (MT) ","StructureDefinition/stroke-mechanical-procedure-profile","SCT"
