URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://tecnomod-um.org/ValueSet/admission-source-vs,0.1.0,draft,,AdmissionSourceValueSet,Admission Sources ValueSet,"Defines the modes of transport or pathways by which the patient arrived.",,"SCT"
http://tecnomod-um.org/ValueSet/afib-flutter-status-vs,0.1.0,active,,AfibFlutterStatusVS,Atrial Fibrillation or Flutter Status ValueSet,"This ValueSet constrains the allowed coded outcomes for documenting the status of an atrial fibrillation (AF) / atrial flutter assessment within the stroke workflow. It is intentionally limited to SNOMED CT qualifier values that express the epistemic status of the finding: (1) known present, (2) known absent, or (3) unknown.  The ValueSet is designed to support harmonized recording across systems when AF/flutter materially influences ischemic stroke etiology workup, thromboembolic risk stratification, and downstream management decisions (e.g., anticoagulation). It is appropriate for use as Observation.valueCodeableConcept to represent the result of screening, monitoring, or review of prior documentation.  Scope and modeling notes: - The qualifier values do not encode the rhythm subtype, chronicity, burden, or method of detection (e.g., ECG vs telemetry); those aspects should be represented using additional elements (e.g., Observation.method, device data) or separate Observations/Conditions as appropriate. - The ValueSet represents “status of assessment” rather than the disorder concept itself; if the clinical intent is to assert a diagnosis of AF/flutter, use a Condition resource with an appropriate SNOMED CT disorder code instead of (or in addition to) this status.",,"SCT"
http://tecnomod-um.org/ValueSet/assessment-context-vs,0.1.0,active,,AssessmentContextVS,Assessment Context ValueSet,"This ValueSet includes all context/timepoint codes defined in AssessmentContextCS. It is intended for required binding to elements (e.g., extensions) that must indicate the clinical phase of an assessment, enabling consistent stratification and reporting of outcomes and severity over the stroke care pathway.",,"Internal"
http://tecnomod-um.org/ValueSet/brain-imaging-modality-vs,0.1.0,active,,BrainImagingModalityVS,Brain Imaging Modality ValueSet,"Defines the SNOMED CT codes for individual brain imaging modalities performed as procedures.",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/carotid-imaging-modality-vs,0.1.0,active,,CarotidImagingModalityVS,Carotid Arteries Imaging Modality ValueSet,"Defines codes for different types of carotid artery imaging.",,"SCT"
http://tecnomod-um.org/ValueSet/discharge-dept-vs,0.1.0,active,,DischargeDeptVS,Discharge Department/Service ValueSet,"ValueSet specifying the type of department or service the patient was discharged or transferred to.",,"Internal"
http://tecnomod-um.org/ValueSet/discharge-destination-vs,0.1.0,draft,,DischargeDestinationValueSet,Discharge Destination ValueSet,"Defines possible patient discharge destinations.",,"SCT"
http://tecnomod-um.org/ValueSet/functional-score-codes-vs,0.1.0,active,,FunctionalScoreCodesVS,Stroke Functional Score Codes ValueSet,"This ValueSet defines the allowable Observation.code concepts for stroke functional and severity scoring instruments represented in this guide: modified Rankin Scale (mRS) and NIH Stroke Scale (NIHSS), expressed as SNOMED CT observable entities.  It is intended to be bound to Observation.code in the FunctionalScoreObservationProfile. Downstream validation/invariants then enforce the appropriate datatype of Observation.value[x]: - mRS is captured as a coded ordinal category (valueCodeableConcept bound to MRsScoreVS). - NIHSS is captured as a numeric total score (valueInteger), representing the summed NIHSS total rather than item-level subscores.",,"SCT"
http://tecnomod-um.org/ValueSet/hemorrhagic-stroke-bleeding-reason-vs,0.1.0,draft,,HemorrhagicStrokeBleedingReasonVS,Hemorrhagic Stroke Bleeding Reason ValueSet,"Specifies the identified cause of a hemorrhagic stroke, typically used with an extension.",,"SCT,Internal"
http://tecnomod-um.org/ValueSet/initial-care-intensity-vs,0.1.0,active,,InitialCareIntensityVS,Initial Care Intensity ValueSet,"ValueSet indicating the level of care provided initially.",,"Internal"
